Track Name,Artist,Album,Tempo,Duration,Video ID
Mama Douser,Andrea Jeremiah,Soodhu Kavvum (Original Motion Picture Soundtrack),104.939,3:20,J3Z2LWkF_s4
Mayakkuraane,Andrea Jeremiah,,,3:52,loiZ1gA3woI
O Crazy Minnal,Andrea Jeremiah,Naduvula Konjam Pakkatha Kaanom (Original Motion Picture Soundtrack),115.063,4:26,S63TAy-ddxM
"Who's the Hero (From ""Manmadan Ambu"")",Andrea Jeremiah,Kollywood Stars,165.974,4:26,ouN5sP2W-Qo
Kanave Kanave,Anirudh,David,,4:45,qD53-RZpTOc
Jimikki Ponnu,Anirudh & Jonita Gandhi,Varisu,,3:45,6NGgVDfMBXU
A Broken Heart (Background Score),Anirudh Ravichander,,,1:23,1fniX8MQpAc
"Bae (From ""Don"")",Anirudh Ravichander,,,4:03,CucLgAiHTFs
Bhavani Theme (Background Score),Anirudh Ravichander,,,1:21,5T_FS2xe55Y
"Come Closer (From ""Remo"") (Sirikkadhey Reprise)",Anirudh Ravichander,,,3:27,4NifnoUX--c
Don'u Don'u Don'u (The Don's Romance),Anirudh Ravichander,,,3:16,nn7WJlphPSE
"Enna Solla (From ""Thangamagan"") (The New Life of Tamizh)",Anirudh Ravichander,,,3:36,hjr4QlXDlHw
"Ey Inge Paaru (From ""Velai Illa Pattadhaari"")",Anirudh Ravichander,,,2:00,TL3-9aq5Rfg
Hayyoda,Anirudh Ravichander,,,3:21,xsZPbX_vUJE
Idhazhin Oram (The Innocence of Love),Anirudh Ravichander,,,3:25,JzU99mOHP0A
JD Intro (Background Score),Anirudh Ravichander,,,1:20,J25jHfjGa_A
"Kaaki Sattai (From ""Kaaki Sattai"")",Anirudh Ravichander,,,3:44,AJsYYX0Ios4
Kaaki Sattai Theme Music,Anirudh Ravichander,Kaaki Sattai (Original Motion Picture Soundtrack),109.748,0:47,xDyJSnA4q-k
"Kannazhaga (From ""3 [Tamil]"") (The Kiss of Love)",Anirudh Ravichander,,,3:26,8TFA-681YRQ
Nee Paartha Vizhigal (The Touch of Love),Anirudh Ravichander,,,4:25,Xpqn2pjV6vM
Nurse Fight Theme (Background Score),Anirudh Ravichander,,,1:44,Mhy9yMjR-Tk
Oh Penne (International Version),Anirudh Ravichander,,,3:34,Q1XEJNC-A6k
"Po Indru Neeyaga (From ""Velai Illa Pattadhaari"")",Anirudh Ravichander,,,3:46,xBjrceyreR0
Po Nee Po (Remix - The Scream of Love),Anirudh Ravichander,,,3:44,FgwDmutAB8s
Po Nee Po (The Pain of Love),Anirudh Ravichander,,,4:12,-28p6dL3Qg4
Smiling with the pain theme,Anirudh Ravichander,,,1:30,zZ0Xl8miCWI
Sunrise Theme,Anirudh Ravichander,Velai Illa Pattadhaari (Original Motion Picture Soundtrack),149.942,1:08,PrPuY0xS_qg
Tak Bak (The Tak Bak of Tamizh),Anirudh Ravichander,,,2:35,KBlHEDQ4O3s
Takkunu Takkunu,Anirudh Ravichander,,,3:33,AHvjmc33WH8
"Tamilselvi (From ""Remo"")",Anirudh Ravichander,,,3:51,uA_DcuoG_rQ
Thangamey,Anirudh Ravichander,Thangamey (From Naanum Rowdy Dhaan) (Single),99.907,4:22,2e8PmS2HPeg
"Udhungada Sangu (From ""Velai Illa Pattadhaari"")",Anirudh Ravichander,,,3:30,UE6KMXxOy7A
VIP Title Song,Anirudh Ravichander,,,3:57,LMOShP5dsCw
"What a Karavaad (From ""Velai Illa Pattadhaari"")",Anirudh Ravichander,,,4:30,fn7Gi7YVx7Q
Why This Kolaveri Di? (The Soup of Love),Anirudh Ravichander,,,4:21,IwPHdPf1io4
"Yennai Maatrum Kadhale (From ""Naanum Rowdy Dhaan"")",Anirudh Ravichander,,,4:35,qJjGVy5JlYs
"Amma Amma (From ""Velai Illa Pattadhaari"")","Anirudh Ravichander, Dhanush, & S. Janaki",Velai Illa Pattadhaari (Original Motion Picture Soundtrack),153.799,5:05,ewa8rdpG6LQ
"So Baby (From ""Doctor"")",Anirudh Ravichander;Ananthakrrishnan;Sivakarthikeyan,"So Baby (From ""Doctor"")",133.131,4:12,fOyGnZPy0vo
Vaathi Raid,Anirudh Ravichander;Arivu,Master (Original Motion Picture Soundtrack),100.016,3:29,McTvummBHt0
"Sirikkadhey (From ""Remo"")",Anirudh Ravichander;Arjun Kanungo;Srinidhi Venkatesh;Vignesh Shivan,"Sirikkadhey (From ""Remo"")",87.998,4:05,tiPOguEO5RA
"Holá Amigö (From ""Rum"")",Anirudh Ravichander;Balan Kash;Madhan Karky,"Holá Amigö (From ""Rum"")",124.578,4:16,3XSmOrcqwFE
Shake That,Anirudh Ravichander;Brodha V,Kaaki Sattai (Original Motion Picture Soundtrack),99.928,3:03,vjPU2HGbRcU
Boomi Enna Suthudhe,Anirudh Ravichander;Dhanush,Ethir Neechal (Original Motion Picture Soundtrack),79.813,4:22,Wnt5XAooDjo
Nijamellam Maranthupochu,Anirudh Ravichander;Dhanush,Ethir Neechal (Original Motion Picture Soundtrack),79.944,3:48,f6q6ty7w5EI
Kannazhaga (The Kiss of Love),Anirudh Ravichander;Dhanush;Shruti Haasan,3 (Original Motion Picture Soundtrack),,3:26,fdNdxUN11Es
"Vaathi Coming (From ""Master"")",Anirudh Ravichander;Gana Balachandar,"Vaathi Coming (From ""Master"")",,3:49,BMFxVtsXgRk
Iraiva,Anirudh Ravichander;Jonita Gandhi,Velaikkaran (Original Motion Picture Soundtrack),140.062,4:54,N6ZQsHemZ6E
Private Party,Anirudh Ravichander;Jonita Gandhi;Sivakarthikeyan,Don (Original Motion Picture Soundtrack),124.031,3:36,bMBW9r4AZGU
Onnume Aagala,Anirudh Ravichander;MALIII,Onnume Aagala,79.825,4:12,8vwb3NPgKfk
Osaka Osaka,Anirudh Ravichander;Pragathi Guruprasad;Madhan Karky,Vanakkam Chennai (Original Motion Picture Soundtrack),78.154,6:08,52sSta769mo
Velicha Poove,Anirudh Ravichander;Shreya Ghoshal;Mohit Chauhan;Vaali,Ethir Neechal (Original Motion Picture Soundtrack),79.744,5:12,4-J7QxJfn3U
Un Vizhigalil,Anirudh Ravichander;Shruti Haasan;R.D. Raja,Maan Karate Special (Original Motion Picture Soundtrack),80.217,4:03,fbyZ8iXy47E
"Neeyum Naanum (From ""Naanum Rowdy Dhaan"")",Anirudh Ravichander;Thamarai;Neeti Mohan,Naanum Rowdy Dhaan (Original Motion Picture Soundtrack),,5:02,hy7SMbYAb8U
"Enakenna Yaarum Illaye (From ""Aakko"")",Anirudh Ravichander;Vignesh Shivan,"Enakenna Yaarum Illaye (From ""Aakko"")",160.036,4:20,b_ZGAdrvpks
"Senjitaley (From ""Remo"")",Anirudh Ravichander;Vignesh Shivan,"Senjitaley (From ""Remo"")",88.073,4:11,3BXSQS1405g
Varavaa Varavaa,Anirudh Ravichander;Vignesh Shivan,Naanum Rowdy Dhaan (Original Motion Picture Soundtrack),,3:23,95e2euu9Q0w
"Kannaana Kanne (From ""Naanum Rowdy Dhaan"")",Anirudh Ravichander;Vignesh Shivan;Sean Roldan,Naanum Rowdy Dhaan (Original Motion Picture Soundtrack),,4:28,sHUwvOGMRXU
Oh Penne,Anirudh Ravichander;Vishal Dadlani;Na.Muthukumar,Vanakkam Chennai (Original Motion Picture Soundtrack),94.988,4:36,J6H6JQHvFMQ
Aathi,Anirudh Ravichander;Vishal Dadlani;Yugabharathi,Kaththi (Original Motion Picture Soundtrack),149.419,5:05,05GTf2PggOs
Badass,Anirudh Ravichander;Vishnu Edavan,Leo (Original Motion Picture Soundtrack),93.019,3:49,zzgUZt5scbY
Cute Ponnu,Anirudh Ravichander;Vivek Siva,"Cute Ponnu (From ""Enna Solla Pogirai"")",100.022,4:35,5jfmwMoTobk
Un Paarvayil,Anirudh Ravichander;Vivek Siva,Ethir Neechal (Original Motion Picture Soundtrack),95.075,1:41,8qv7DUfiqUQ
Karuthavanlaam Galeejaam,Anirudh Ravichander;Viveka,Velaikkaran (Original Motion Picture Soundtrack),89.951,3:28,_oRlyqyEz40
Ethir Neechal,Anirudh Ravichander;Yo Yo Honey Singh;Hiphop Tamizha;Vaali,Ethir Neechal (Original Motion Picture Soundtrack),119.97,4:30,ib8FunNzsg0
Andha Kanna Paathaakaa,Anirudh Ravichander;Yuvan Shankar Raja;Vignesh Shivan,Master (Original Motion Picture Soundtrack),90.445,3:14,is9J2yQRFRA
Nee Choopey,Anudeep Dev,,,4:16,TVXMLuIWGCc
